Date,Bitcoin
1/1/2022,32
1/2/2022,34
1/3/2022,38
1/4/2022,39
1/5/2022,41
1/6/2022,58
1/7/2022,57
1/8/2022,51
1/9/2022,47
1/10/2022,50
1/11/2022,48
1/12/2022,43
1/13/2022,42
1/14/2022,40
1/15/2022,33
1/16/2022,33
1/17/2022,39
1/18/2022,41
1/19/2022,37
1/20/2022,38
1/21/2022,77
1/22/2022,94
1/23/2022,64
1/24/2022,100
1/25/2022,69
1/26/2022,57
1/27/2022,56
1/28/2022,53
1/29/2022,45
1/30/2022,43
1/31/2022,45
2/1/2022,43
2/2/2022,41
2/3/2022,43
2/4/2022,45
2/5/2022,48
2/6/2022,39
2/7/2022,50
2/8/2022,46
2/9/2022,49
2/10/2022,44
2/11/2022,39
2/12/2022,37
2/13/2022,33
2/14/2022,42
2/15/2022,42
2/16/2022,39
2/17/2022,40
2/18/2022,41
2/19/2022,35
2/20/2022,43
2/21/2022,42
2/22/2022,48
2/23/2022,41
2/24/2022,66
2/25/2022,48
2/26/2022,40
2/27/2022,39
2/28/2022,47
3/1/2022,50
3/2/2022,43
3/3/2022,40
3/4/2022,38
3/5/2022,35
3/6/2022,33
3/7/2022,40
3/8/2022,40
3/9/2022,47
3/10/2022,43
3/11/2022,38
3/12/2022,32
3/13/2022,31
3/14/2022,37
3/15/2022,33
3/16/2022,33
3/17/2022,32
3/18/2022,32
3/19/2022,33
3/20/2022,32
3/21/2022,33
3/22/2022,34
3/23/2022,33
3/24/2022,37
3/25/2022,37
3/26/2022,32
3/27/2022,33
3/28/2022,42
3/29/2022,40
3/30/2022,34
3/31/2022,35
