Date,stocks: (United States)
7/4/2021,79
7/11/2021,80
7/18/2021,78
7/25/2021,74
8/1/2021,72
8/8/2021,76
8/15/2021,70
8/22/2021,73
8/29/2021,71
9/5/2021,66
9/12/2021,66
9/19/2021,71
9/26/2021,73
10/3/2021,77
10/10/2021,72
10/17/2021,82
10/24/2021,98
10/31/2021,98
11/7/2021,100
11/14/2021,95
11/21/2021,78
11/28/2021,91
12/5/2021,77
12/12/2021,75
12/19/2021,65
12/26/2021,78
1/2/2022,86
1/9/2022,80
1/16/2022,81
1/23/2022,97
1/30/2022,86
2/6/2022,76
2/13/2022,73
2/20/2022,90
2/27/2022,80
3/6/2022,90
3/13/2022,72
3/20/2022,73
3/27/2022,76
4/3/2022,74
4/10/2022,71
4/17/2022,71
4/24/2022,74
5/1/2022,72
5/8/2022,80
5/15/2022,70
5/22/2022,60
5/29/2022,51
6/5/2022,66
6/12/2022,72
6/19/2022,58
6/26/2022,44
