new_date_column,average compound score per date,median compound score per date,Sentiment Indicator Average,Sentiment Indicator Average Numerical,Sentiment Indicator Median,Sentiment Indicator Median Numerical
2022-01-01,0.082169106,0.0,Neutral,0,Neutral,0
2022-01-02,0.2611264,0.2023,Bullish,1,Bullish,1
2022-01-03,0.19664881,0.0258,Neutral,0,Neutral,0
2022-01-04,0.120353709,0.0,Neutral,0,Neutral,0
2022-01-05,0.134196296,0.0,Neutral,0,Neutral,0
2022-01-06,0.025111979,0.0,Neutral,0,Neutral,0
2022-01-07,-0.04430719,0.0,Neutral,0,Neutral,0
2022-01-08,-0.047038372,0.0,Neutral,0,Neutral,0
2022-01-09,0.078266279,0.0,Neutral,0,Neutral,0
2022-01-10,0.072969388,0.0,Neutral,0,Neutral,0
2022-01-11,0.147080791,0.0,Neutral,0,Neutral,0
2022-01-12,0.112780172,0.0,Neutral,0,Neutral,0
2022-01-13,0.048733054,0.0,Neutral,0,Neutral,0
2022-01-14,0.063140773,0.0,Neutral,0,Neutral,0
2022-01-15,0.03677156,0.0,Neutral,0,Neutral,0
2022-01-16,0.129748333,0.0,Neutral,0,Neutral,0
2022-01-17,0.107895714,0.0,Neutral,0,Neutral,0
2022-01-18,0.086020952,0.0,Neutral,0,Neutral,0
2022-01-19,0.01068,0.0,Neutral,0,Neutral,0
2022-01-20,0.023239437,0.0,Neutral,0,Neutral,0
2022-01-21,-0.127784191,0.0,Neutral,0,Neutral,0
2022-01-22,-0.200467376,0.0,Bearish,-1,Neutral,0
2022-01-23,0.047739474,0.0258,Neutral,0,Neutral,0
2022-01-24,-0.125277358,0.0,Neutral,0,Neutral,0
2022-01-25,-0.020488235,0.0,Neutral,0,Neutral,0
2022-01-26,0.012831197,0.0,Neutral,0,Neutral,0
2022-01-27,0.094540909,0.0,Neutral,0,Neutral,0
2022-01-28,-0.21836948,-0.3182,Bearish,-1,Bearish,-1
2022-01-29,-0.089319259,-0.0516,Neutral,0,Neutral,0
2022-01-30,0.15842459,0.0,Neutral,0,Neutral,0
2022-01-31,-0.20652898,0.0,Bearish,-1,Neutral,0
2022-02-01,0.024387119,0.0,Neutral,0,Neutral,0
2022-02-02,0.165217318,0.1779,Neutral,0,Neutral,0
2022-02-03,0.119749693,0.0,Neutral,0,Neutral,0
2022-02-04,0.030762406,0.0,Neutral,0,Neutral,0
2022-02-05,0.154124528,0.0,Neutral,0,Neutral,0
2022-02-06,0.201452273,0.23775,Bullish,1,Bullish,1
2022-02-07,0.173479762,0.0,Neutral,0,Neutral,0
2022-02-08,0.10779375,0.0,Neutral,0,Neutral,0
2022-02-09,0.154150365,0.0,Neutral,0,Neutral,0
2022-02-10,0.099204848,0.0,Neutral,0,Neutral,0
2022-02-11,0.007645833,0.0,Neutral,0,Neutral,0
2022-02-12,-0.065017347,0.0,Neutral,0,Neutral,0
2022-02-13,-0.010275,0.0,Neutral,0,Neutral,0
2022-02-14,-0.154371053,-0.2776,Neutral,0,Bearish,-1
2022-02-15,0.038,0.0,Neutral,0,Neutral,0
2022-02-16,0.025877064,0.0,Neutral,0,Neutral,0
2022-02-17,-0.066076571,0.0,Neutral,0,Neutral,0
2022-02-18,-0.154929452,0.0,Neutral,0,Neutral,0
2022-02-19,-0.095818182,0.0,Neutral,0,Neutral,0
2022-02-20,-0.08389434,0.0,Neutral,0,Neutral,0
2022-02-21,-0.082688235,0.0,Neutral,0,Neutral,0
2022-02-22,-0.16607322,0.0,Neutral,0,Neutral,0
2022-02-23,-0.106160833,0.0,Neutral,0,Neutral,0
2022-02-24,-0.044775227,0.0,Neutral,0,Neutral,0
2022-02-25,0.445771809,0.5574,Bullish,1,Bullish,1
2022-02-26,0.302809091,0.368,Bullish,1,Bullish,1
2022-02-27,0.034983333,0.0,Neutral,0,Neutral,0
2022-02-28,-0.042974251,0.0,Neutral,0,Neutral,0
2022-03-01,-0.072221505,0.0,Neutral,0,Neutral,0
2022-03-02,-0.128162805,0.0,Neutral,0,Neutral,0
2022-03-03,0.016004762,0.0,Neutral,0,Neutral,0
2022-03-04,-0.053464286,0.0,Neutral,0,Neutral,0
2022-03-05,-0.015810345,0.0,Neutral,0,Neutral,0
2022-03-06,0.065408065,0.0,Neutral,0,Neutral,0
2022-03-07,-0.123090449,0.0,Neutral,0,Neutral,0
2022-03-08,-0.167306731,0.0,Neutral,0,Neutral,0
2022-03-09,0.100883636,0.0,Neutral,0,Neutral,0
2022-03-10,-0.158608867,-0.2023,Neutral,0,Bearish,-1
2022-03-11,-0.107997297,0.0,Neutral,0,Neutral,0
2022-03-12,-0.178115294,-0.128,Neutral,0,Neutral,0
2022-03-13,-0.207506838,-0.128,Bearish,-1,Neutral,0
2022-03-14,0.076774468,0.0,Neutral,0,Neutral,0
2022-03-15,-0.011495533,0.0,Neutral,0,Neutral,0
2022-03-16,0.089129694,0.0,Neutral,0,Neutral,0
2022-03-17,0.162807834,0.0,Neutral,0,Neutral,0
2022-03-18,0.300201418,0.34,Bullish,1,Bullish,1
2022-03-19,0.2251375,0.15905,Bullish,1,Neutral,0
2022-03-20,0.201344156,0.0,Bullish,1,Neutral,0
2022-03-21,0.118401136,0.0,Neutral,0,Neutral,0
2022-03-22,0.179794083,0.0,Neutral,0,Neutral,0
2022-03-23,0.14304589,0.0,Neutral,0,Neutral,0
2022-03-24,0.156446377,0.0,Neutral,0,Neutral,0
2022-03-25,0.129276207,0.0,Neutral,0,Neutral,0
2022-03-26,0.065475229,0.0,Neutral,0,Neutral,0
2022-03-27,0.120586585,0.0,Neutral,0,Neutral,0
2022-03-28,0.162422826,0.0,Neutral,0,Neutral,0
2022-03-29,0.307204206,0.34,Bullish,1,Bullish,1
2022-03-30,0.15964709,0.0516,Neutral,0,Neutral,0
2022-03-31,0.441675,0.5039,Bullish,1,Bullish,1
